ID,Nome,Album_ID,Compositor,Duracao
1,Come Together,1,"John Lennon, Paul McCartney",4:20
2,Something,1,George Harrison,3:03
3,Maxwell's Silver Hammer,1,Paul McCartney,3:27
4,Oh! Darling,1,Paul McCartney,3:27
5,Octopus's Garden,1,Richard Starkey,2:51
6,Taxman,2,George Harrison,2:39
7,Eleanor Rigby,2,Paul McCartney,2:06
8,I'm Only Sleeping,2,"John Lennon, Paul McCartney",3:02
9,Love You To,2,George Harrison,3:01
10,"Here, There and Everywhere",2,Paul McCartney,2:26
11,Sgt. Pepper's Lonely Hearts Club Band,3,"John Lennon, Paul McCartney",2:02
12,With a Little Help from My Friends,3,"John Lennon, Paul McCartney",2:44
13,Lucy in the Sky with Diamonds,3,"John Lennon, Paul McCartney",3:28
14,Getting Better,3,"John Lennon, Paul McCartney",2:48
15,Fixing a Hole,3,"John Lennon, Paul McCartney",2:36
16,Wanna Be Startin' Somethin',4,Michael Jackson,6:03
17,Baby Be Mine,4,Rod Temperton,4:20
18,The Girl Is Mine,4,Michael Jackson,3:42
19,Thriller,4,Rod Temperton,5:58
20,Beat It,4,Michael Jackson,4:18
21,Bad,5,Michael Jackson,4:07
22,The Way You Make Me Feel,5,Michael Jackson,4:58
23,Speed Demon,5,Michael Jackson,4:01
24,Liberian Girl,5,Michael Jackson,3:53
25,Just Good Friends,5,"Terry Britten, Graham Lyle",4:05
26,Jam,6,"Michael Jackson, René Moore, Bruce Swedien, Teddy Riley",5:39
27,Why You Wanna Trip on Me,6,"Teddy Riley, Bernard Belle",5:24
28,In the Closet,6,"Michael Jackson, Teddy Riley",6:31
29,She Drives Me Wild,6,"Michael Jackson, Teddy Riley",3:41
30,Remember the Time,6,"Michael Jackson, Teddy Riley, Bernard Belle",4:00
31,Pray You Catch Me,7,"Beyoncé, Kevin Garrett, James Blake",3:16
32,Hold Up,7,"Beyoncé, Ezra Koenig, Emile Haynie, Thomas Wesley Pentz, Joshua Tillman, Sean Rhoden",3:41
33,Don't Hurt Yourself,7,"Beyoncé, Jack White, Diana 'Literature' Gordon",3:54
34,Sorry,7,"Beyoncé, Diana 'Literature' Gordon, Sean 'Melo-X' Rhoden, Hit-Boy, Stuart White",3:53
35,6 Inch,7,"Beyoncé, The Weeknd, Danny Schofield, Ben Billions, Boots",4:20
36,Pretty Hurts,8,"Sia, Beyoncé",4:17
37,Haunted,8,"Beyoncé, Boots, Kelly Sheehan",6:09
38,Drunk in Love,8,"Beyoncé, Jay-Z, Detail, Timbaland",5:23
39,Blow,8,"Beyoncé, Pharrell Williams, Timbaland, Justin Timberlake",5:09
40,No Angel,8,"Caroline Polachek, Beyoncé, Boots",3:49
41,1+1,9,"Beyoncé, The-Dream, Christopher Stewart",4:35
42,I Care,9,"Jeff Bhasker, Chad Hugo, Beyoncé",3:59
43,I Miss You,9,"Beyoncé, Frank Ocean, Shea Taylor",2:59
44,Best Thing I Never Had,9,"Babyface, Antonio Dixon, Patrick 'J. Que' Smith, Beyoncé",4:13
45,Party,9,"Kanye West, Jeff Bhasker, Beyoncé, André 3000",4:05
